artist|popularity
Ellie Goulding|81
David Archuleta|53
Dizzee Rascal|62
Toploader|62
John Mayer|77
Pitbull|82
Sigala|73
Logic|76
Britney Spears|80
Secondhand Serenade|56
Deorro|67
iann dior|73
Megan Thee Stallion|78
Dua Lipa|87
Usher|79
Lee Ann Womack|57
Britney Spears|80
Joe|76
Beyoncé|87
T-Pain|76
Jennifer Lopez|75
Jason Derulo|79
Destiny's Child|71
Nick Jonas|66
Tom Walker|66
Christina Aguilera|77
Terror Squad|51
Ida Corr|52
Calvin Harris|86
David Guetta|88
Bow Wow|59
Black Eyed Peas|80
Mahalini|75
Foals|64
Fetty Wap|69
Beyoncé|87
Basshunter|60
Swedish House Mafia|75
Twista|65
Emeli Sandé|63
Tiësto|84
Sebastian Ingrosso|61
Jason Derulo|79
Swedish House Mafia|75
Usher|79
Tom Jones|64
Uncle Kracker|62
Robbie Williams|70
Lasgo|52
Beyoncé|87
Drake|95
Justin Timberlake|79
Passion Pit|58
Cali Swag District|49
Las Ketchup|53
The 1975|79
Ariana Grande|88
Macklemore & Ryan Lewis|74
Desiigner|63
DNCE|68
Shakira|89
Larissa Lambert|52
Rihanna|89
Nickelback|76
Jagged Edge|61
Jax Jones|74
JAY-Z|83
