"","sel","","title","artist","top genre","year","added","bpm","nrgy","dnce","dB","live","val","dur","acous","spch","pop"
"835","on (i)","","Denim","Gatton","gen z singer-songwriter","2023","2023‑06‑22","135","32","48","-7","8","11","232","83","4","46"
"836","on (i)","","Vibez - Instrumental","Prod. Dior","","2020","2023‑06‑22","135","32","80","-14","14","33","209","4","10","45"
"837","on (i)","","4 me","Sugar Hill","funky house","2020","2023‑06‑22","123","90","90","-7","53","96","336","34","5","45"
"838","on (i)","","Impossible Weight - feat. Sharon Van Etten","Deep Sea Diver","indie surf","2020","2023‑06‑22","124","62","61","-6","11","67","202","1","5","45"
"839","on (i)","","Ohms","Deftones","alternative metal","2020","2023‑06‑22","173","98","11","-3","12","37","250","0","12","45"
"840","on (i)","","Ringin' In My Head","Black Stone Cherry","alternative metal","2020","2023‑06‑22","180","89","40","-4","51","36","253","0","6","45"
"841","on (i)","","Fire In Bone","The Killers","alternative rock","2020","2023‑06‑22","96","88","57","-4","23","38","233","1","5","45"
"842","on (i)","","Real Love Song","Nothing But Thieves","alternative pop rock","2020","2023‑06‑22","120","80","54","-6","7","22","223","0","5","45"
"843","on (i)","","Instant History - Single Version","Biffy Clyro","modern rock","2020","2023‑06‑22","133","76","59","-4","65","41","198","0","3","45"
"844","on (i)","","Inside Out","GROUPLOVE","indie rock","2020","2023‑06‑22","112","86","58","-6","37","67","208","25","25","45"
"845","on (i)","","CYR","The Smashing Pumpkins","alternative metal","2020","2023‑06‑22","127","88","67","-7","9","51","243","0","3","45"
"846","on (i)","","Save Me, Pt. 2","Neema Nekesa","","2021","2023‑06‑22","172","58","61","-7","10","24","152","24","8","45"
"847","on (i)","","Quizas","Tony Dize","reggaeton","2021","2023‑06‑22","90","63","75","-8","4","92","186","29","8","45"
"848","on (i)","","Back to Life (feat. TINUADE)","Benito Bazar","","2021","2023‑06‑22","122","67","70","-7","13","74","202","23","6","45"
"849","on (i)","","Before","Pablo Fierro","afro house","2021","2023‑06‑22","120","76","75","-10","11","40","420","1","4","45"
"850","on (i)","","Picture of You","Axel Flóvent","icelandic folk","2021","2023‑06‑22","65","11","43","-16","9","7","262","92","3","45"
"851","on (i)","","Ozu","Gotts Street Park","british soul","2021","2023‑06‑22","92","41","60","-12","11","23","222","89","5","45"
"852","on (i)","","Superhero","Kiefer","indie jazz","2021","2023‑06‑22","88","51","55","-9","9","61","166","35","7","45"
"853","on (i)","","Citizen Erased (XX Anniversary RemiXX)","Muse","modern rock","2021","2023‑06‑22","177","87","15","-5","20","10","439","0","6","45"
"854","on (i)","","Sound the Alarm (feat. Rivers Cuomo of Weezer & Royal & the Serpent)","The Knocks","alternative dance","2021","2023‑06‑22","101","79","69","-3","54","77","172","2","4","45"
"855","on (i)","","Set You Free","Black Label Society","alternative metal","2021","2023‑06‑22","112","74","43","-5","10","20","238","0","3","45"
"856","on (i)","","Bad News","Bilk","essex indie","2021","2023‑06‑22","100","89","49","-4","32","69","152","0","4","45"
"857","on (i)","","Go Bad Bitch Go Bad Bitch Go","Harry Coleman","","2021","2023‑06‑22","130","48","95","-9","5","60","153","0","34","45"
"858","on (i)","","The Ecstasy of Gold - L’estasi dell’oro (Bandini Remix) - 2021 Remastered Version","Ennio Morricone","classic soundtrack","2021","2023‑06‑22","97","63","54","-10","10","54","203","1","3","45"
"859","on (i)","","Risk It All","Yuna","malaysian pop","2022","2023‑06‑22","82","45","61","-9","7","60","218","73","4","45"
"860","on (i)","","Open - Remix","Dylan Sinclair","canadian contemporary r&b","2022","2023‑06‑22","124","68","57","-5","15","56","208","50","46","45"
"861","on (i)","","Drunk Tank","Marc E. Bassy","indie pop rap","2022","2023‑06‑22","85","61","56","-9","26","51","169","37","12","45"
"862","on (i)","","Heart Is On My Sleeve","Sophie Faith","uk contemporary r&b","2022","2023‑06‑22","139","25","45","-12","8","31","254","94","9","45"
"863","on (i)","","Road Trip","Moai Beats","","2022","2023‑06‑22","152","43","70","-10","9","34","79","85","4","45"
"864","on (i)","","Self Portrait","Surf Curse","dreamo","2022","2023‑06‑22","152","80","58","-4","12","65","212","5","3","45"
"865","on (i)","","Same Thing Every Day","The Flints","","2023","2023‑06‑22","133","72","44","-6","8","82","194","1","5","45"
"866","on (i)","","Movie Star","Trousdale","modern indie folk","2023","2023‑06‑22","76","48","36","-9","8","47","220","83","3","45"
"867","on (i)","","Mary Jane & Chardonnay","Meg McRee","","2023","2023‑06‑22","79","73","60","-4","15","55","201","6","4","45"
"868","on (i)","","I Want","Hurricane on Saturn","","2023","2023‑06‑22","150","96","55","-2","13","45","193","0","12","45"
"869","on (i)","","Fútbol & Rumba (feat. Enrique Iglesias)","Anuel AA","reggaeton","2020","2023‑06‑22","168","92","74","-2","9","69","221","40","12","44"
"870","on (i)","","Play For The Pagans","10 Eleven","uk drill","2020","2023‑06‑22","142","78","82","-9","36","77","218","48","29","44"
"871","on (i)","","No Scrubs","Tom Enzy","slap house","2020","2023‑06‑22","120","68","86","-6","7","49","146","3","5","44"
"872","on (i)","","He's The Greatest Dancer - Dimitri From Paris Remix (Mixed)","Sister Sledge","disco","2020","2023‑06‑22","118","90","66","-7","17","68","280","1","8","44"
"873","on (i)","","Baila Conmigo (feat. Kelly Ruiz) - Benny Benassi & BB Team Remix","Dayvi","circuit","2020","2023‑06‑22","126","90","56","-7","24","16","166","3","5","44"
"874","on (i)","","Baby Drummer","Bad Nerves","action rock","2020","2023‑06‑22","90","96","44","-6","42","45","141","0","9","44"
"875","on (i)","","Symphonie Pacifique","Greg Foat","indie jazz","2020","2023‑06‑22","114","58","60","-12","11","72","294","51","4","44"
"876","on (i)","","Beluga v2 (feat. Berhana)","Baird","baltimore indie","2021","2023‑06‑22","88","72","72","-7","14","39","155","8","8","44"
"877","on (i)","","Bad Habits","PANKIDZ","covertronica","2021","2023‑06‑22","126","70","80","-8","9","40","240","8","4","44"
"878","on (i)","","Somebody To Love - Voost Remix","Basstrologe","dutch edm","2021","2023‑06‑22","125","92","59","-3","46","58","142","0","4","44"
"879","on (i)","","DÁKITI","BROHM","covertronica","2021","2023‑06‑22","120","84","79","-4","6","54","171","7","4","44"
"880","on (i)","","The Man Who Sees Tomorrow","Uwade","","2021","2023‑06‑22","55","21","26","-12","36","21","212","77","4","44"
"881","on (i)","","It's Over Again","Mild High Club","indie garage rock","2021","2023‑06‑22","96","72","66","-7","10","50","128","33","4","44"
"882","on (i)","","Give Me The Future","Bastille","metropopolis","2021","2023‑06‑22","170","90","37","-4","31","43","220","14","17","44"
"883","on (i)","","Surrounded By Spies","Placebo","britpop","2021","2023‑06‑22","160","86","52","-8","23","39","315","0","20","44"
"884","on (i)","","Long Way","Eddie Vedder","acoustic rock","2021","2023‑06‑22","110","76","53","-6","13","57","287","0","3","44"
"885","on (i)","","Spoon & Bang","Kyle Dion","alternative r&b","2022","2023‑06‑22","103","38","81","-6","7","90","130","70","4","44"
"886","on (i)","","No Time for Tears","Birds of Mind","organic electronic","2022","2023‑06‑22","122","85","73","-7","6","32","394","7","4","44"
"887","on (i)","","Hangover Game","MJ Lenderman","asheville indie","2022","2023‑06‑22","120","81","54","-12","36","87","136","1","4","44"
"888","on (i)","","Long Way","Eddie Vedder","acoustic rock","2022","2023‑06‑22","110","75","53","-6","15","61","285","0","3","44"
"889","on (i)","","Especially You","Wallows","pov: indie","2022","2023‑06‑22","95","95","55","-3","9","76","181","4","13","44"
"890","on (i)","","Legghins di pelle","Bello Figo","","2022","2023‑06‑22","121","43","97","-10","7","61","132","3","43","44"
"891","on (i)","","Out of Touch","PHABO","indie r&b","2023","2023‑06‑22","145","72","53","-6","10","53","213","2","5","44"
"892","on (i)","","are you feeling it now","mazie","modern indie pop","2023","2023‑06‑22","108","60","66","-7","17","45","156","48","3","44"
"893","on (i)","","Would It Kill Ya","Julia Pratt","","2023","2023‑06‑22","79","30","52","-11","12","31","166","76","3","44"
"894","on (i)","","Splash & Cash","Uk Drill","uk drill","2020","2023‑06‑22","140","68","76","-5","36","67","210","54","22","43"
"895","on (i)","","Guate","Robby East","dutch edm","2020","2023‑06‑22","124","81","84","-5","34","65","190","5","4","43"
"896","on (i)","","Chucks","Mi Casa","afro soul","2020","2023‑06‑22","123","48","81","-8","13","69","255","22","7","43"
"897","on (i)","","Good Bad Times","Hinds","bubblegrunge","2020","2023‑06‑22","110","67","65","-3","65","87","199","4","3","43"
"898","on (i)","","I'll Just Dance","Su Lee","","2020","2023‑06‑22","140","54","88","-9","6","81","162","24","5","43"
"899","on (i)","","Narrator","Squid","brighton indie","2021","2023‑06‑22","134","73","43","-7","67","37","509","0","7","43"
"900","on (i)","","Take Back Thy Gift","Andrea von Kampen","indie folk","2021","2023‑06‑22","91","22","50","-10","11","35","193","90","3","43"
"901","on (i)","","Pigs In The Sky","Grabbitz","brostep","2021","2023‑06‑22","90","90","74","-5","18","24","192","12","6","43"
"902","on (i)","","We Are Between","Modest Mouse","alternative rock","2021","2023‑06‑22","129","91","61","-3","34","41","233","1","4","43"
"903","on (i)","","Back In Love City","The Vaccines","british indie rock","2021","2023‑06‑22","134","83","61","-4","9","96","214","0","3","43"
"904","on (i)","","Mr. Ed","Mammoth WVH","","2021","2023‑06‑22","128","96","46","-3","25","34","224","0","12","43"
"905","on (i)","","Magic","Lucky Daye","alternative r&b","2022","2023‑06‑22","95","71","74","-8","7","31","285","19","4","43"
"906","on (i)","","Not Me","Rory","indie r&b","2022","2023‑06‑22","172","48","61","-8","10","48","222","29","32","43"
"907","on (i)","","Pleasure & Pain","K. Roosevelt","","2022","2023‑06‑22","109","55","75","-10","11","69","178","47","3","43"
"908","on (i)","","Vintage Chill Vibes","Yaahn Hunter Jr.","","2022","2023‑06‑22","77","39","61","-9","18","58","231","69","6","43"
"909","on (i)","","You Got the Love - Club Mix","Rockin Moroccin","","2022","2023‑06‑22","120","74","81","-9","9","32","391","0","5","43"
"910","on (i)","","Besame","Malóne","afro house","2022","2023‑06‑22","123","94","71","-7","35","24","240","1","4","43"
"911","on (i)","","Sinnerman - Sofi Tukker Remix","Nina Simone","jazz blues","2022","2023‑06‑22","124","76","80","-7","9","16","233","41","4","43"
"912","on (i)","","Ascent","GoGo Penguin","british jazz","2022","2023‑06‑22","119","48","44","-13","11","49","280","28","4","43"
"913","on (i)","","Something's Going On","Kokoroko","british jazz","2022","2023‑06‑22","90","68","47","-11","14","48","312","3","5","43"
"914","on (i)","","Bond","Anomalie","jazztronica","2022","2023‑06‑22","118","54","68","-9","34","36","174","43","4","43"
"915","on (i)","","Of The New Day","Porcupine Tree","progressive metal","2022","2023‑06‑22","140","26","39","-15","15","7","283","12","3","43"
"916","on (i)","","Just Expectationz","Azekel","uk contemporary r&b","2023","2023‑06‑22","160","64","57","-7","10","65","229","20","22","43"
"917","on (i)","","Formless","Nat Walker","","2023","2023‑06‑22","75","50","72","-13","12","52","129","4","6","43"
"918","on (i)","","giving up on you","JAWNY","bedroom pop","2023","2023‑06‑22","147","80","56","-6","11","79","184","1","16","43"
"919","on (i)","","Bindi in the Dirt","Mikayla Pasterfield","","2023","2023‑06‑22","178","45","22","-5","18","24","232","37","3","43"
"920","on (i)","","forever, now","Sam Nelson","modern alternative rock","2023","2023‑06‑22","140","44","46","-8","35","24","289","6","7","43"
"921","on (i)","","Sunset Jazz","Moai Beats","","2020","2023‑06‑22","160","32","81","-12","9","30","78","94","8","42"
"922","on (i)","","Felina","Hector & Tito","reggaeton","2020","2023‑06‑22","93","93","77","-6","8","73","216","2","7","42"
"923","on (i)","","Te Quiero - TikTok Remix","Eduardo Luzquiños","slowed and reverb","2020","2023‑06‑22","98","66","85","-4","8","91","264","4","6","42"
"924","on (i)","","At Night","3LAU","edm","2020","2023‑06‑22","124","87","67","-6","19","36","221","1","4","42"
"925","on (i)","","Бэнгер","FEDUK","russian hip hop","2020","2023‑06‑22","122","58","78","-9","32","19","184","52","16","42"
"926","on (i)","","Oye Como Va","Faul & Wad","tropical house","2020","2023‑06‑22","126","98","75","-4","4","96","186","2","6","42"
"927","on (i)","","Half Your Age","Joywave","indietronica","2020","2023‑06‑22","85","79","46","-4","65","49","209","1","3","42"
"928","on (i)","","Come On Out","The Airborne Toxic Event","la indie","2020","2023‑06‑22","105","61","59","-4","6","67","278","1","3","42"
"929","on (i)","","Must Stop (Falling in Love) [feat. Sarah Barthel of Phantogram]","ONR","scottish indie","2020","2023‑06‑22","178","68","60","-6","7","45","215","0","3","42"
"930","on (i)","","Lockdown Drive","Jazzbois","modern jazz trio","2021","2023‑06‑22","88","64","42","-8","12","55","320","71","11","42"
"931","on (i)","","Greatest Enemy","The Strumbellas","canadian indie","2021","2023‑06‑22","132","72","51","-6","13","38","189","1","4","42"
"932","on (i)","","Quarterback","Wallows","pov: indie","2021","2023‑06‑22","121","72","69","-4","11","56","180","1","3","42"
"933","on (i)","","Ho la macchina","Bello Figo","","2021","2023‑06‑22","105","94","92","1","33","97","98","41","7","42"
"934","on (i)","","Obsession","Eric Bellinger","pop r&b","2022","2023‑06‑22","107","59","65","-7","11","44","193","37","10","42"
"935","on (i)","","With The Band","Sophie May","","2022","2023‑06‑22","130","32","65","-7","13","47","173","84","3","42"
"936","on (i)","","A Good Love, Pt. 2","Bear's Den","folk-pop","2022","2023‑06‑22","75","49","55","-12","13","67","214","65","3","42"
"937","on (i)","","Dignity","Porcupine Tree","progressive metal","2022","2023‑06‑22","132","33","49","-15","13","7","502","3","3","42"
"938","on (i)","","Swing Step","iamalex","lo-fi study","2023","2023‑06‑22","75","52","61","-10","13","38","96","56","5","42"
"939","on (i)","","Am I even living anymore","Mikey Ferrari","","2023","2023‑06‑22","132","49","63","-5","30","56","201","55","3","42"
"940","on (i)","","Lightwork Freestyle","Y.cb","uk drill","2020","2023‑06‑22","142","48","90","-11","28","70","206","4","83","41"
"941","on (i)","","Pump It Up - Jax Jones Midnight Snacks Remix","Endor","deep groove house","2020","2023‑06‑22","125","85","79","-9","10","58","201","2","5","41"
"942","on (i)","","Dark Side Riddim","Ezra Collective","british jazz","2020","2023‑06‑22","117","65","73","-8","13","66","315","0","6","41"
"943","on (i)","","Tell Me Where You Are","The Martial","","2020","2023‑06‑22","186","71","38","-5","10","69","191","3","4","41"
"944","on (i)","","Lay Your Head On Me","Major Lazer","dance pop","2020","2023‑06‑22","120","77","65","-7","9","22","200","5","5","41"
"945","on (i)","","HIDE (MYSELF BEHIND YOU)","Ron Gallo","garage rock","2020","2023‑06‑22","92","71","62","-7","9","84","179","2","3","41"
"946","on (i)","","When Your Lover Has Gone","Makaya McCraven","contemporary jazz","2021","2023‑06‑22","89","79","55","-8","9","75","131","17","6","41"
"947","on (i)","","Morning Light","Nubiyan Twist","indie jazz","2021","2023‑06‑22","179","63","40","-8","33","60","328","5","33","41"
"948","on (i)","","Can't Get Over You","Yuna","malaysian pop","2022","2023‑06‑22","184","68","55","-10","11","63","217","30","17","41"
"949","on (i)","","Gotta Be","Henry Aberson","","2023","2023‑06‑22","136","57","82","-9","12","66","232","32","4","41"
"950","on (i)","","my cozy place","coffein","","2023","2023‑06‑22","82","31","63","-12","15","15","135","86","5","41"
"951","on (i)","","The Overtake // Flamenco Sketches","One.Z","","2023","2023‑06‑22","129","58","38","-7","9","18","193","90","5","41"
"952","on (i)","","ROCK3T","Mi Casa","afro soul","2023","2023‑06‑22","120","67","77","-5","45","47","157","42","4","41"
"953","on (i)","","Lipstick","Blu DeTiger","","2023","2023‑06‑22","142","75","74","-7","19","76","167","18","4","41"
"954","on (i)","","Summa Glo","Apricot Ink","","2023","2023‑06‑22","80","39","80","-11","11","55","185","75","34","41"
"955","on (i)","","findaway","Arlie","modern rock","2023","2023‑06‑22","109","88","51","-6","34","56","175","24","4","41"
"956","on (i)","","taste of u","King Isis","","2023","2023‑06‑22","83","57","78","-6","16","62","179","37","7","41"
"957","on (i)","","Golden State","Logan Ledger","alternative country","2023","2023‑06‑22","124","43","50","-9","19","39","265","61","3","41"
"958","on (i)","","No Hook","10 Eleven","uk drill","2020","2023‑06‑22","145","74","89","-5","7","79","244","42","32","40"
"959","on (i)","","Heart On My Sleeve","GATTÜSO","pop edm","2020","2023‑06‑22","128","86","56","-4","11","28","209","1","6","40"
"960","on (i)","","Tropics","Hagan","","2020","2023‑06‑22","123","77","80","-7","11","46","254","0","5","40"
"961","on (i)","","The Message Continues","Nubya Garcia","british jazz","2020","2023‑06‑22","117","59","43","-10","8","34","405","20","5","40"
"962","on (i)","","Self!","Isaia Huron","chill pop","2021","2023‑06‑22","134","63","76","-7","10","73","230","14","6","40"
"963","on (i)","","Dream No More (feat. Ruel & Genesis Owusu)","Billy Davis","australian r&b","2021","2023‑06‑22","95","53","36","-8","33","55","207","52","5","40"
"964","on (i)","","Occasionally","Lydia Luce","indie folk","2021","2023‑06‑22","78","29","46","-13","18","19","195","55","3","40"
"965","on (i)","","Run Outs","Alfa Mist","british jazz","2021","2023‑06‑22","105","62","42","-9","10","41","292","40","4","40"
"966","on (i)","","Discovery at the Beach","Brendan Eder Ensemble","modern chamber music","2021","2023‑06‑22","132","33","88","-12","76","67","149","48","6","40"
"967","on (i)","","57 Lashes of the Mallet","The Natural Yogurt Band","psychedelic jazz fusion","2021","2023‑06‑22","97","62","62","-8","14","69","163","56","5","40"
"968","on (i)","","713","James Francies","uk contemporary jazz","2021","2023‑06‑22","147","65","53","-10","16","58","322","13","3","40"
"969","on (i)","","Icebreaker","loophole","","2021","2023‑06‑22","137","28","36","-15","15","8","316","52","4","40"
"970","on (i)","","BRIGHTSIDE","The Lumineers","folk-pop","2021","2023‑06‑22","134","72","55","-7","10","56","230","36","4","40"
"971","on (i)","","Do Ya Feel My Love?","Stereophonics","britpop","2021","2023‑06‑22","129","98","40","-3","20","18","238","0","8","40"
"972","on (i)","","On the Shelf","Isaac Lewis","bedroom soul","2022","2023‑06‑22","90","35","89","-11","19","94","130","67","4","40"
"973","on (i)","","Miss My Dawgs (with 6LACK)","Kaash Paige","atl hip hop","2022","2023‑06‑22","89","36","55","-10","11","15","206","19","11","40"
"974","on (i)","","Selfish","Ali Gatie","canadian hip hop","2022","2023‑06‑22","113","57","84","-7","12","36","184","32","6","40"
"975","on (i)","","Becoming All Alone","Regina Spektor","indie pop","2022","2023‑06‑22","90","31","45","-12","11","13","258","35","3","40"
"976","on (i)","","am i not enough for now?","MARO","musica portuguesa contemporanea","2022","2023‑06‑22","145","49","73","-11","15","57","232","59","4","40"
"977","on (i)","","cigarette holes","Peter Raffoul","","2022","2023‑06‑22","113","63","73","-7","11","52","147","57","3","40"
"978","on (i)","","Nobody But Me (feat. Cold War Kids)","The Knocks","alternative dance","2022","2023‑06‑22","110","93","64","-3","72","65","225","3","6","40"
"979","on (i)","","One Note Bossa","brrt","","2023","2023‑06‑22","110","33","85","-16","11","66","166","91","5","40"
"980","on (i)","","Pirouette","Chiiild","indie r&b","2020","2023‑06‑22","92","60","74","-7","32","63","177","15","3","39"
"981","on (i)","","Pull Up","Khamari","indie r&b","2020","2023‑06‑22","96","45","93","-5","11","79","162","37","4","39"
"982","on (i)","","Nada Fue Un Error - Live In Spain / 2005","Coti","spanish pop","2020","2023‑06‑22","139","95","61","-2","93","53","226","4","10","39"
"983","on (i)","","Summer Air","ItaloBrothers","hands up","2020","2023‑06‑22","102","75","76","-4","8","49","184","6","7","39"
"984","on (i)","","Toulouse - Radio Mix","Nicky Romero","big room","2020","2023‑06‑22","128","94","75","-3","34","55","186","11","10","39"
"985","on (i)","","Chaser","Mammal Hands","contemporary jazz","2020","2023‑06‑22","165","58","46","-11","9","45","223","83","3","39"
"986","on (i)","","Odyssey","Yussef Dayes","british jazz","2020","2023‑06‑22","94","44","49","-12","61","60","224","38","5","39"
"987","on (i)","","Seven O'Clock","Pearl Jam","alternative metal","2020","2023‑06‑22","200","65","35","-7","11","45","374","15","4","39"
"988","on (i)","","Step into You","Hum","american shoegaze","2020","2023‑06‑22","129","89","42","-6","21","36","244","0","5","39"
"989","on (i)","","Paulette","Alain Diamond","","2021","2023‑06‑22","122","87","90","-7","11","86","394","1","7","39"
"990","on (i)","","Signal from the Noise","BADBADNOTGOOD","canadian modern jazz","2021","2023‑06‑22","120","50","32","-9","39","14","543","53","4","39"
"991","on (i)","","P64 By My Side","John Carroll Kirby","fourth world","2021","2023‑06‑22","78","57","54","-7","8","71","252","66","4","39"
"992","on (i)","","This Was Once Out of Shape","Trap Rabbit","","2021","2023‑06‑22","123","57","64","-7","9","31","228","11","3","39"
"993","on (i)","","i remember this picture","Kiefer","indie jazz","2021","2023‑06‑22","90","40","52","-11","11","23","214","69","3","39"
"994","on (i)","","Alone Star","The Vaccines","british indie rock","2021","2023‑06‑22","91","94","54","-4","12","67","197","0","7","39"
"995","on (i)","","Daygo (w/ gianni & kyle)","Cody Lawless","","2022","2023‑06‑22","101","45","75","-9","12","54","192","25","4","39"
"996","on (i)","","Trust","RealestK","","2022","2023‑06‑22","67","50","52","-9","17","17","165","5","4","39"
"997","on (i)","","Sunrise","Epifania","lo-fi beats","2022","2023‑06‑22","166","48","59","-10","12","48","205","70","7","39"
"998","on (i)","","Fallout Today","Eddie Vedder","acoustic rock","2022","2023‑06‑22","118","80","55","-4","17","56","200","0","3","39"
"999","on (i)","","SIMPLE (feat. I DONT KNOW HOW BUT THEY FOUND ME)","DE'WAYNE","alt z","2022","2023‑06‑22","117","91","61","-4","7","69","172","1","6","39"
"1000","on (i)","","Friends I Barely Know","Windser","","2022","2023‑06‑22","138","79","63","-7","9","63","180","0","3","39"
"1001","on (i)","","Nozomi","koufuku bits","","2023","2023‑06‑22","160","46","63","-11","7","47","117","18","8","39"
"1002","on (i)","","ILTP","Goldie The Gasman","","2023","2023‑06‑22","150","67","89","-7","8","51","163","2","26","39"
"1003","on (i)","","Mr Medicine","Pigs Pigs Pigs Pigs Pigs Pigs Pigs","crank wave","2023","2023‑06‑22","154","83","18","-8","11","50","147","0","7","39"
"1004","on (i)","","Anniversary","Mulherin","chill r&b","2020","2023‑06‑22","145","48","58","-10","34","25","176","31","3","38"
"1005","on (i)","","Take Over Control (feat. Eva Simons) - Radio Edit","AFROJACK","big room","2020","2023‑06‑22","130","81","72","-4","9","61","209","22","11","38"
"1006","on (i)","","Summer Jam","I.O.YOU","slap house","2020","2023‑06‑22","125","79","64","-5","12","34","149","3","5","38"
"1007","on (i)","","Don’t Go","GoGo Penguin","british jazz","2020","2023‑06‑22","150","16","47","-23","9","18","219","95","3","38"
"1008","on (i)","","Silence is Golden","Lettuce","funk rock","2020","2023‑06‑22","97","65","74","-8","7","76","344","1","4","38"
"1009","on (i)","","Relationships","Cory Wong","instrumental funk","2020","2023‑06‑22","92","45","39","-16","9","18","314","96","4","38"
"1010","on (i)","","Kill the Vibe - Live","Speed of Light","","2020","2023‑06‑22","95","84","59","-6","70","34","140","5","13","38"
"1011","on (i)","","Nasty Girl, Fantastic","JASC","","2021","2023‑06‑22","98","75","85","-7","15","71","127","8","10","38"
"1012","on (i)","","Bag (with Lucky Daye)","Col3trane","alternative r&b","2022","2023‑06‑22","78","49","71","-8","7","50","211","38","5","38"
"1013","on (i)","","About U","Savannah Ré","alternative r&b","2022","2023‑06‑22","150","39","36","-8","10","16","163","46","11","38"
"1014","on (i)","","I'm a Man","Michelle Branch","candy pop","2022","2023‑06‑22","91","70","56","-4","23","41","181","0","3","38"
"1015","on (i)","","Machines","Jensen McRae","gen z singer-songwriter","2022","2023‑06‑22","120","28","42","-9","56","34","272","64","4","38"
"1016","on (i)","","The Less I Knew","James Vincent McMorrow","chamber pop","2022","2023‑06‑22","111","20","56","-16","11","41","275","96","4","38"
"1017","on (i)","","Peace","QUiNNA","","2023","2023‑06‑22","89","46","38","-10","10","21","170","68","5","38"
"1018","on (i)","","Never Learned To Dance","Medium Build","alaska indie","2023","2023‑06‑22","73","62","62","-6","25","53","224","45","4","38"
"1019","on (i)","","Picking Petals","Petty Cassettes","","2023","2023‑06‑22","165","76","47","-8","17","64","193","0","6","38"
"1020","on (i)","","Kill Confirmed","10 Eleven","uk drill","2020","2023‑06‑22","140","50","85","-15","7","56","189","51","31","37"
"1021","on (i)","","It's Not Right But It's Okay","I.O.YOU","slap house","2020","2023‑06‑22","115","82","72","-6","29","26","163","1","4","37"
"1022","on (i)","","Paroles, Paroles - Radio Edit","DJ Dark","romanian electronic","2020","2023‑06‑22","120","72","76","-6","40","22","220","12","3","37"
"1023","on (i)","","Fever","Akalex","","2020","2023‑06‑22","120","60","93","-8","15","51","230","16","45","37"
"1024","on (i)","","It Is What It Is (feat. Elise LeGrow) - Club Mix","Vintage Culture","brazilian edm","2020","2023‑06‑22","124","76","87","-6","6","78","374","0","9","37"
"1025","on (i)","","Ballroom Dance Scene","Horsegirl","american post-punk","2020","2023‑06‑22","100","49","26","-11","8","20","209","21","3","37"
"1026","on (i)","","Bad Feeling","Muzz","","2020","2023‑06‑22","83","35","51","-9","11","27","158","36","4","37"
"1027","on (i)","","Hope in Hell","Black Pistol Fire","alternative roots rock","2020","2023‑06‑22","146","52","34","-10","33","29","267","2","3","37"
"1028","on (i)","","Forever - Garage Version","Mumford & Sons","modern folk rock","2020","2023‑06‑22","175","82","22","-4","38","39","278","17","5","37"
"1029","on (i)","","Bolero","Bathe","experimental r&b","2021","2023‑06‑22","107","47","73","-10","10","47","205","64","4","37"
"1030","on (i)","","Give me time","McClenney","indie r&b","2021","2023‑06‑22","79","29","76","-8","10","45","204","88","5","37"
"1031","on (i)","","Tractor","Tom Rosenthal","british singer-songwriter","2021","2023‑06‑22","81","23","41","-14","15","30","206","89","4","37"
"1032","on (i)","","Monument","Portico Quartet","british jazz","2021","2023‑06‑22","100","69","54","-9","12","26","281","15","3","37"
"1033","on (i)","","Vortex","Brainstory","socal indie","2021","2023‑06‑22","80","60","55","-8","14","21","139","6","3","37"
"1034","on (i)","","OOO","Branko","moombahton","2022","2023‑06‑22","123","68","73","-6","12","34","183","18","5","37"
"1035","on (i)","","Cannibal","Marcus Mumford","british singer-songwriter","2022","2023‑06‑22","137","20","44","-12","13","53","242","17","6","37"
"1036","on (i)","","Every Window Is A Mirror","Joywave","indietronica","2022","2023‑06‑22","105","67","41","-4","10","68","173","0","3","37"
"1037","on (i)","","Reap A Hurricane","The Hellacopters","action rock","2022","2023‑06‑22","148","99","39","-5","12","34","195","0","12","37"
"1038","on (i)","","The Requisition","The Mars Volta","el paso indie","2022","2023‑06‑22","172","78","49","-7","44","17","253","0","4","37"
"1039","on (i)","","We Strive for Excellence","Clutch","funk metal","2022","2023‑06‑22","165","98","49","-5","16","43","176","0","9","37"
"1040","on (i)","","That Girl","Ra Moody","","2023","2023‑06‑22","79","47","59","-8","14","59","195","31","28","37"
"1041","on (i)","","Fellow Mellow","koufuku bits","","2023","2023‑06‑22","88","25","60","-13","9","13","110","80","4","37"
"1042","on (i)","","lofe","Boy Illum","","2023","2023‑06‑22","152","57","71","-9","12","51","156","70","3","37"
"1043","on (i)","","Journey","Moai Beats","","2023","2023‑06‑22","148","43","66","-8","9","44","171","62","7","37"
"1044","on (i)","","postcards","Linearwave","anime lo-fi","2023","2023‑06‑22","160","22","69","-14","9","61","101","88","10","37"
"1045","on (i)","","country drive","wanderlost","","2023","2023‑06‑22","81","34","80","-11","10","33","134","74","4","37"
"1046","on (i)","","Flood Into","Fazerdaze","dreamo","2023","2023‑06‑22","123","77","66","-6","24","68","175","13","3","37"
"1047","on (i)","","Dile","Don Omar","latin hip hop","2020","2023‑06‑22","94","74","82","-6","7","75","207","17","9","36"
"1048","on (i)","","War","Uk Drill","uk drill","2020","2023‑06‑22","140","82","75","-8","5","53","189","45","28","36"
"1049","on (i)","","Who's On What","10 Eleven","uk drill","2020","2023‑06‑22","142","37","92","-17","6","68","238","52","47","36"
